customer_id,registration_date,acquisition_channel,customer_segment,transaction_date,order_value,product_category
1,2023-04-13,email,premium,2023-08-22,104.24,Books
1,2023-04-13,email,premium,2024-01-15,141.21,Electronics
1,2023-04-13,email,premium,2024-02-21,54.8,Electronics
1,2023-04-13,email,premium,2023-06-11,159.59,Home
1,2023-04-13,email,premium,2023-09-30,111.29,Fashion
1,2023-04-13,email,premium,2023-06-03,114.24,Books
1,2023-04-13,email,premium,2023-06-07,119.12,Electronics
1,2023-04-13,email,premium,2024-02-14,133.51,Home
2,2023-01-21,paid_search,premium,2023-04-23,88.33,Electronics
2,2023-01-21,paid_search,premium,2023-10-12,114.32,Home
2,2023-01-21,paid_search,premium,2023-02-25,112.02,Books
2,2023-01-21,paid_search,premium,2024-02-13,134.87,Fashion
2,2023-01-21,paid_search,premium,2024-02-15,132.21,Electronics
2,2023-01-21,paid_search,premium,2023-07-31,79.0,Fashion
3,2023-08-06,paid_search,standard,2024-08-07,60.97,Books
3,2023-08-06,paid_search,standard,2024-02-10,96.12,Books
3,2023-08-06,paid_search,standard,2023-09-16,54.35,Electronics
3,2023-08-06,paid_search,standard,2024-06-28,60.01,Electronics
3,2023-08-06,paid_search,standard,2024-07-15,43.8,Home
3,2023-08-06,paid_search,standard,2023-12-23,55.14,Home
3,2023-08-06,paid_search,standard,2023-10-26,92.54,Home
3,2023-08-06,paid_search,standard,2024-04-23,85.78,Fashion
4,2023-08-19,social_media,basic,2023-10-20,49.86,Books
4,2023-08-19,social_media,basic,2024-03-20,26.73,Home
4,2023-08-19,social_media,basic,2023-09-23,25.64,Fashion
5,2023-05-11,email,standard,2023-11-06,68.43,Home
5,2023-05-11,email,standard,2024-04-27,45.74,Books
5,2023-05-11,email,standard,2024-06-02,95.7,Fashion
5,2023-05-11,email,standard,2023-12-28,109.06,Books
5,2023-05-11,email,standard,2023-05-24,59.92,Books
6,2023-11-23,organic,premium,2024-12-04,80.05,Fashion
6,2023-11-23,organic,premium,2024-04-08,88.39,Fashion
6,2023-11-23,organic,premium,2024-05-06,86.37,Books
6,2023-11-23,organic,premium,2024-10-03,157.9,Fashion
6,2023-11-23,organic,premium,2024-05-01,211.31,Electronics
6,2023-11-23,organic,premium,2024-10-06,126.45,Electronics
6,2023-11-23,organic,premium,2024-01-14,153.37,Home
6,2023-11-23,organic,premium,2024-03-15,87.45,Electronics
6,2023-11-23,organic,premium,2024-03-15,117.7,Home
6,2023-11-23,organic,premium,2024-07-04,133.08,Electronics
6,2023-11-23,organic,premium,2024-12-12,101.0,Books
6,2023-11-23,organic,premium,2024-06-28,105.75,Books
6,2023-11-23,organic,premium,2024-06-08,151.06,Home
7,2023-07-03,organic,standard,2023-10-08,49.58,Electronics
7,2023-07-03,organic,standard,2023-11-04,125.04,Home
7,2023-07-03,organic,standard,2023-11-28,71.72,Books
7,2023-07-03,organic,standard,2024-06-13,43.96,Books
7,2023-07-03,organic,standard,2024-01-18,71.45,Books
8,2023-05-08,paid_search,basic,2024-03-01,44.67,Fashion
8,2023-05-08,paid_search,basic,2023-08-28,24.19,Electronics
8,2023-05-08,paid_search,basic,2023-07-07,35.67,Books
9,2023-01-09,organic,standard,2023-04-18,81.37,Electronics
9,2023-01-09,organic,standard,2023-12-24,52.09,Fashion
9,2023-01-09,organic,standard,2023-11-15,50.42,Home
9,2023-01-09,organic,standard,2023-08-05,69.9,Books
9,2023-01-09,organic,standard,2024-01-28,62.4,Books
9,2023-01-09,organic,standard,2023-05-24,52.48,Books
9,2023-01-09,organic,standard,2024-01-15,97.51,Fashion
9,2023-01-09,organic,standard,2024-01-19,82.3,Fashion
9,2023-01-09,organic,standard,2024-01-09,44.66,Home
9,2023-01-09,organic,standard,2023-09-30,100.62,Fashion
10,2023-04-07,social_media,standard,2023-05-12,82.26,Books
10,2023-04-07,social_media,standard,2023-05-26,41.0,Fashion
10,2023-04-07,social_media,standard,2023-07-15,65.08,Books
11,2023-08-21,referral,standard,2024-04-30,95.79,Books
11,2023-08-21,referral,standard,2024-07-09,63.17,Books
11,2023-08-21,referral,standard,2023-09-08,86.62,Fashion
11,2023-08-21,referral,standard,2024-07-09,71.97,Books
12,2023-06-23,organic,standard,2024-07-20,52.5,Electronics
12,2023-06-23,organic,standard,2023-12-10,105.96,Home
12,2023-06-23,organic,standard,2023-07-19,76.69,Electronics
12,2023-06-23,organic,standard,2024-05-04,75.62,Fashion
12,2023-06-23,organic,standard,2024-07-18,107.74,Electronics
13,2023-09-21,social_media,standard,2024-04-23,70.15,Home
13,2023-09-21,social_media,standard,2024-08-28,53.22,Fashion
13,2023-09-21,social_media,standard,2024-01-24,61.07,Fashion
13,2023-09-21,social_media,standard,2024-07-31,61.85,Fashion
14,2023-11-22,paid_search,standard,2024-08-10,83.7,Electronics
14,2023-11-22,paid_search,standard,2024-11-28,115.31,Books
14,2023-11-22,paid_search,standard,2024-09-25,56.08,Books
14,2023-11-22,paid_search,standard,2024-08-17,67.78,Home
14,2023-11-22,paid_search,standard,2024-02-22,60.5,Fashion
15,2023-12-12,organic,basic,2023-12-13,21.99,Fashion
15,2023-12-12,organic,basic,2024-01-29,31.58,Electronics
15,2023-12-12,organic,basic,2024-08-05,39.19,Fashion
15,2023-12-12,organic,basic,2024-11-25,57.44,Home
16,2023-03-17,social_media,premium,2023-06-19,137.09,Books
16,2023-03-17,social_media,premium,2023-10-21,151.39,Fashion
16,2023-03-17,social_media,premium,2024-02-21,81.37,Fashion
16,2023-03-17,social_media,premium,2024-03-08,116.27,Home
16,2023-03-17,social_media,premium,2023-11-22,190.64,Fashion
17,2023-06-29,paid_search,standard,2024-04-04,104.11,Books
17,2023-06-29,paid_search,standard,2024-03-02,99.51,Books
17,2023-06-29,paid_search,standard,2023-12-24,82.1,Home
17,2023-06-29,paid_search,standard,2024-07-13,74.93,Home
18,2023-04-11,social_media,basic,2024-01-21,32.27,Electronics
18,2023-04-11,social_media,basic,2023-04-23,38.08,Electronics
19,2023-03-31,paid_search,basic,2023-07-24,29.04,Electronics
20,2023-07-15,social_media,standard,2024-02-17,57.95,Fashion
20,2023-07-15,social_media,standard,2024-07-06,91.06,Electronics
21,2023-07-11,social_media,standard,2023-10-15,82.49,Electronics
21,2023-07-11,social_media,standard,2024-04-04,65.88,Electronics
22,2023-07-02,email,standard,2024-07-04,44.04,Home
22,2023-07-02,email,standard,2023-12-26,54.36,Books
22,2023-07-02,email,standard,2024-08-01,78.74,Home
23,2023-02-21,social_media,standard,2024-03-06,67.43,Electronics
23,2023-02-21,social_media,standard,2023-04-15,84.41,Electronics
23,2023-02-21,social_media,standard,2023-08-21,84.52,Fashion
24,2023-07-05,organic,standard,2023-09-19,91.39,Electronics
24,2023-07-05,organic,standard,2024-03-14,81.23,Fashion
24,2023-07-05,organic,standard,2023-07-12,45.45,Electronics
24,2023-07-05,organic,standard,2024-04-13,62.39,Fashion
25,2023-07-13,organic,premium,2024-07-11,65.13,Fashion
25,2023-07-13,organic,premium,2023-08-01,192.19,Home
25,2023-07-13,organic,premium,2023-11-16,109.6,Books
25,2023-07-13,organic,premium,2023-11-16,119.84,Fashion
25,2023-07-13,organic,premium,2023-12-08,175.71,Electronics
